fold,train_time,precompute_time,nll_train,nll_val,nll_test,accuracy_train,accuracy_val,accuracy_test,kernel_type,kernel_params,lambda_,grad_norm_threshold,lr,alpha_std,smoothing,SEED
8,90.19453859329224,73.63975787162781,0.3140466318253759,0.6072634542882128,0.6270213710607858,0.88987074650488,0.7624076029567054,0.7447257383966245,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
9,88.22806096076965,73.38186836242676,0.31815187800877076,0.5383300136739374,0.618835771134131,0.88987074650488,0.7877507919746568,0.7521097046413502,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
1,45.58018612861633,73.59256887435913,0.3353109335839599,0.5667832129112276,0.6165054256905986,0.8770610737369741,0.7626582278481012,0.7436708860759493,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
2,55.39820742607117,72.71281385421753,0.3228484580076837,0.5838848387641746,0.6156634238198839,0.8835246009761245,0.7689873417721519,0.75,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
3,52.30275630950928,71.89835786819458,0.32856239849211843,0.5452957475235694,0.6320644330374802,0.8808864265927978,0.7827004219409283,0.7521097046413502,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
4,54.42532730102539,71.61394572257996,0.32561580374661986,0.5749474376565796,0.611422381823576,0.8822055137844611,0.7658227848101266,0.7510548523206751,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
5,78.96639680862427,72.86055016517639,0.31502153049152487,0.5887187201262526,0.6170761172781514,0.8955282944202612,0.7732067510548524,0.7626582278481012,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
6,46.70609784126282,72.4609625339508,0.3334969632654828,0.5498384242319356,0.616088545272119,0.8753462603878116,0.7721518987341772,0.7457805907172996,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
7,60.45034646987915,73.14548897743225,0.31946280561692164,0.5967168757631006,0.6147334746670622,0.8876285940385122,0.7381203801478353,0.7552742616033755,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
8,87.55916619300842,73.30144214630127,0.3120810132138618,0.6091550929745249,0.6257104028629351,0.8944869427591664,0.7550158394931362,0.7457805907172996,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
9,85.42666816711426,72.70964550971985,0.31504541234585204,0.5382441648585995,0.6172717130636867,0.8917172250065946,0.7845828933474129,0.7510548523206751,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
